latitude,longitude
30.33248831,-97.68665614
30.23991146,-97.82760342
30.28631123,-97.67824864
30.28114272,-97.7284505
30.3699414,-97.69324164
30.40235401,-97.71753828
30.19740847,-97.70479472
30.19981735,-97.62278524
30.2895157,-97.69214246
30.25875693,-97.90607387
30.32189333,-97.6948338
30.19103458,-97.77186176
30.20699971,-97.69651416
30.37964523,-97.73801098
30.18357496,-97.75436887
30.2896588,-97.70744521
30.19195812,-97.77534061
30.19386524,-97.74713667
30.24707068,-97.75605092
30.20334744,-97.63949063
30.28409838,-97.6838069
30.35075548,-97.71941595
30.37679606,-97.67518136
30.38218014,-97.81252108
30.3525993,-97.79531428
30.39471194,-97.65295838
30.22996467,-97.68322189
30.24654379,-97.77820438
30.34565094,-97.695962
30.23788767,-97.73864189
30.33715602,-97.7193895
30.20129728,-97.68385095
30.46564784,-97.79544586
30.1876797,-97.76286473
30.26397754,-97.72615041
30.44032952,-97.66943781
30.4395484,-97.75394883
30.26885967,-97.74923997
30.26107796,-97.73586384
30.24077845,-97.78632258
30.36648379,-97.70692067
30.25599739,-97.72055637
30.22296522,-97.66406114
30.18704347,-97.68657811
30.23770722,-97.72560009
30.35261263,-97.79537979
30.19382364,-97.74048944
30.38450309,-97.7424585
30.28501994,-97.68802939
30.42252251,-97.79382761
30.31317204,-97.70843295
30.17394496,-97.80633252
30.43140708,-97.67034956
30.37660852,-97.68935783
30.2327957,-97.73228084
30.10568652,-97.81025689
30.2562274,-97.7250922
30.30921388,-97.67107015
30.26636485,-97.75460541
30.35587613,-97.71514211
30.35771141,-97.71613668
30.24349223,-97.80191715
30.22426686,-97.70162109
30.3733532,-97.67855317
30.27874153,-97.72740639
30.22053549,-97.69418274
30.18669139,-97.78093805
30.24414248,-97.7647067
30.28426255,-97.73383474
30.2656489,-97.73506311
30.33060165,-97.70531454
30.22809055,-97.86143937
30.19870171,-97.74727767
30.35098866,-97.70910614
30.4340299,-97.65379692
30.16385967,-97.77847118
30.25598255,-97.70165404
30.30356458,-97.67128982
30.25366323,-97.73651609
30.4073617,-97.72122428
30.22941872,-97.88983989
30.4078283,-97.74784634
30.20445724,-97.77483169
30.18054877,-97.64660506
